,,,,,,,,
,,همکار گرامی لطفا هنگام وارد کردن توضیحات به موارد زیر توجه کنید: ,,,,,,
,,"مواردی که های لایت آبی شده اند در صورتی در منو وارد می شوند که مجموعه هر دو آیتم را در منو داشته باشد درغیر این صورت بدون پسوند ""با پوست"" یا ""بدون پوست"" یا ""بدون استخوان"" ثبت می شوند. 
",,,,,,
,,به تاپینگ های هر آیتم دقت کرده و موارد را حتما با مدیر رستوران چک کنید. ,,,,,,
,,"بازه وزنی را برای هر آیتم به صورت منطقی وارد کنید.
",,,,,,
,,مواردی که در پرانتز نوشته شده است باید با وندور چک شده و یک گزینه انتخاب شود.,,,,,,
,,توجه داشته باشید که وزن بیش از 10 کیلوگرم به خصوص در شقه گوسفندی در منو وارد نشود.,,,,,,
,,در ثبت تاپینگ حداقل 1 و حداکثر را 1 وارد کنید استثناً برای شقه گوسفندی یا بره حداکثر را به تعداد تاپینگ اعمال شده وارد کنید. ,,,,,,
,,در صورتی که محصول دارای برند مشخص بود در انتهای تایتل اصلی وارد شود برای مثال : گل ماهیچه گوسفندی مهیا پروتئین,,,,,,
,,,,,,,,
Level 1,نام دسته,نام آیتم,لینک عکس,description,description,نام دسته تاپینگ,تاپینگ,ورییشن
پروتئین,گوشت گوسفندی,شقه گوسفندی,https://drive.google.com/file/d/1oOnBwgjTyEA0COShCm5ZCkzPxXi8e6os/view?usp=sharing,"کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی","کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
ران و سر دست خرد شده خورشتی
 ران گردن ماهیچه خرد شده چلویی
 قلوه گاه چرخ شده
 راسته با استخوان و بدون استخوان کبابی و چنجه
 گردن قلوه گاه سر سینه آبگوشتی","6 تا 6.5 کیلوگرم
6.5 تا 7 کیلوگرم
7 - 7.5 کیلوگرم 
7.5 تا 8 کیلوگرم 
8 تا 8.5 کیلوگرم 
8.5 تا 9 کیلوگرم 
9 تا 9.5 کیلوگرم"
پروتئین,گوشت گوسفندی,نیم شقه گوسفندی,,"کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی

","کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی

",نحوه آماده سازی گوشت را انتخاب کنید,"
کامل
ران و سر دست خرد شده خورشتی
 ران گردن ماهیچه خرد شده چلویی
 قلوه گاه چرخ شده
 راسته با استخوان و بدون استخوان کبابی و چنجه
 گردن قلوه گاه سر سینه آبگوشتی","3 تا 3.5 کیلوگرم
3.5 تا 4 کیلوگرم
4.5 تا 5 کیلوگرم
5 تا 5.5 کیلوگرم
6 تا 6.5 کیلوگرم"
پروتئین,گوشت گوسفندی,شقه بره,https://drive.google.com/file/d/1oOnBwgjTyEA0COShCm5ZCkzPxXi8e6os/view?usp=sharing,"کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی","کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
 ران و سر دست خرد شده خورشتی
 ران گردن ماهیچه خرد شده چلویی
 قلوه گاه چرخ شده
 راسته با استخوان و بدون استخوان کبابی و چنجه
 گردن قلوه گاه سر سینه آبگوشتی","6 تا 6.5 کیلوگرم
6.5 تا 7 کیلوگرم
7 - 7.5 کیلوگرم 
7.5 تا 8 کیلوگرم 
8 تا 8.5 کیلوگرم 
8.5 تا 9 کیلوگرم 
9 تا 9.5 کیلوگرم"
پروتئین,گوشت گوسفندی,نیم شقه بره,,"کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی","کشتار تازه شامل ماهیچه، قلم، کعب ران، سردست، راسته، گردن و قلوه گاه
ضایعات در هر کیلوگرم 150 تا 250 گرم
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
ران و سر دست خرد شده خورشتی
 ران گردن ماهیچه خرد شده چلویی
 قلوه گاه چرخ شده
 راسته با استخوان و بدون استخوان کبابی و چنجه
 گردن قلوه گاه سر سینه آبگوشتی","3 تا 3.5 کیلوگرم
3.5 تا 4 کیلوگرم
4.5 تا 5 کیلوگرم
5 تا 5.5 کیلوگرم
6 تا 6.5 کیلوگرم"
پروتئین,گوشت گوسفندی,کف دست گوسفندی,https://drive.google.com/file/d/1oUXSHXRo2Pasnaz4KIkQxDqmiOZAuHBz/view?usp=sharing,"کشتار روز، استخوان دار، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
","کشتار روز، استخوان دار، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
1 بار چرخ شده 
 2 بار چرخ شده 
 3 بار چرخ شده 
 خرد شده چلویی با استخوان 
 خرد شده چلویی بدون استخوان
 خرد شده خورشتی
 خرد شده با استخوان خورشتی و چلویی 
 خرد شده بدون استخوان خورشتی و چلویی
برش استیک
برش بیف استراگانف
برش کباب چنجه 
برش کباب برگ","500 گرم 
1 کیلوگرم 
2 کیلوگرم 
2.5 کیلوگرم 
3 کیلوگرم"
پروتئین,گوشت گوسفندی,کف دست گوسفندی بدون استخوان,https://drive.google.com/file/d/1tTfoPwNOHOiSpm599CB9WFoQH4KWpAC5/view?usp=sharing,"کشتار روز، بدون استخوان، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
","کشتار روز، بدون استخوان، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
1 بار چرخ شده 
 2 بار چرخ شده 
 3 بار چرخ شده 
 خرد شده چلویی
 خرد شده خورشتی
 خرد شده خورشتی و چلویی
برش استیک
برش بیف استراگانف
برش کباب چنجه 
برش کباب برگ","500 گرم 
1 کیلوگرم 
2 کیلوگرم 
2.5 کیلوگرم 
3 کیلوگرم"
پروتئین,گوشت گوسفندی,کف دست گوسفندی با استخوان,https://drive.google.com/file/d/1oUXSHXRo2Pasnaz4KIkQxDqmiOZAuHBz/view?usp=sharing,"کشتار روز، بدون استخوان، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
","کشتار روز، بدون استخوان، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
1 بار چرخ شده 
 2 بار چرخ شده 
 3 بار چرخ شده 
 خرد شده چلویی با استخوان 
 خرد شده چلویی بدون استخوان
 خرد شده خورشتی
 خرد شده با استخوان خورشتی و چلویی 
 خرد شده بدون استخوان خورشتی و چلویی
برش استیک
برش بیف استراگانف
برش کباب چنجه 
برش کباب برگ","500 گرم 
1 کیلوگرم 
2 کیلوگرم 
2.5 کیلوگرم 
3 کیلوگرم"
پروتئین,گوشت گوسفندی,ران و کف دست گوسفندی ,,"کشتار روز، کم چرب،  
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
","کشتار روز، کم چرب،  
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
1 بار چرخ شده 
 2 بار چرخ شده 
 3 بار چرخ شده 
 خرد شده چلویی
 خرد شده خورشتی
 خرد شده خورشتی و چلویی
برش استیک
برش بیف استراگانف
برش کباب چنجه 
برش کباب برگ","500 گرم 
1 کیلوگرم 
2 کیلوگرم 
2.5 کیلوگرم 
3 کیلوگرم"
پروتئین,گوشت گوسفندی,ران و کف دست گوسفندی با استخوان,,"کشتار روز، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
","کشتار روز، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
",نحوه آماده سازی گوشت را انتخاب کنید,"1 بار چرخ شده 
 2 بار چرخ شده 
 3 بار چرخ شده 
 خرد شده چلویی
 خرد شده خورشتی
 خرد شده خورشتی و چلویی 
برش استیک
برش بیف استراگانف
برش کباب چنجه 
برش کباب برگ","500 گرم 
1 کیلوگرم 
2 کیلوگرم 
2.5 کیلوگرم 
3 کیلوگرم"
پروتئین,گوشت گوسفندی,ران و کف دست گوسفندی بدون استخوان,,"کشتار روز، بدون استخوان، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
","کشتار روز، بدون استخوان، کم چرب
مناسب آبگوشت و غذاهای ایرانی سنتی 
قابل ارائه به صورت خرد شده به درخواست شما در بسته بندی بهداشتی
",نحوه آماده سازی گوشت را انتخاب کنید,"کامل
1 بار چرخ شده 
 2 بار چرخ شده 
 3 بار چرخ شده 
 خرد شده چلویی
 خرد شده خورشتی
 خرد شده خورشتی و چلویی
برش استیک
برش بیف استراگانف
برش کباب چنجه 
برش کباب برگ","500 گرم 
1 کیلوگرم 
2 کیلوگرم 
2.5 کیلوگرم 
3 کیلوگرم"
